#COPIER ID MEAN MIN MAX
C544 544 1.33 0 2
C545 545 2.00 0 4
C546 546 1.00 0 2
C547 547 0.67 0 1
C548 548 0.67 0 1
C549 549 0.67 0 1
C550 550 0.33 0 1
C551 551 0.67 0 2
C552 552 1.33 1 2
C553 553 2.33 0 5
C554 554 2.00 0 3
C555 555 1.00 0 3
C556 556 1.67 1 3
C557 557 0.67 0 2
C558 558 1.00 1 1
C559 559 1.00 0 2
C560 560 0.67 0 1
C561 561 1.00 0 2
C562 562 1.00 0 2
C563 563 2.00 1 3
C564 564 0.67 0 1
C565 565 1.00 0 2
C566 566 1.33 1 2
C567 567 0.67 0 1
C568 568 1.00 0 2
C569 569 1.00 0 2
C570 570 0.67 0 1
C571 571 0.67 0 2
C572 572 1.33 0 2
C573 573 0.67 0 1
C574 574 0.67 0 1
C575 575 1.33 0 3
C576 576 0.33 0 1
C577 577 0.67 0 1
C578 578 0.33 0 1
C579 579 0.33 0 1
C580 580 0.67 0 1
C581 581 0.67 0 1
C582 582 1.67 1 2
C583 583 0.33 0 1
C584 584 2.67 1 4
C585 585 0.67 0 1
C586 586 0.67 0 1
C587 587 0.33 0 1
C588 588 0.67 0 1
C589 589 0.67 0 1
C590 590 1.00 0 2
C591 591 3.00 1 5
C592 592 0.67 0 1
C593 593 0.67 0 1
C594 594 1.67 1 2
C595 595 1.33 0 3
C596 596 1.67 1 2
C597 597 1.33 0 3
C598 598 1.00 0 2
C599 599 1.67 1 2
C600 600 1.00 0 2
C601 601 1.33 1 2
C602 602 1.00 1 1
C603 603 0.33 0 1
C604 604 0.67 0 1
C605 605 0.67 0 1
C606 606 1.33 0 3
C607 607 0.33 0 1
C608 608 1.33 0 3
C609 609 0.00 0 0
C610 610 1.33 0 4
C611 611 0.33 0 1
C612 612 1.00 0 2
C613 613 0.67 0 2
C614 614 2.33 0 6
C615 615 0.00 0 0
C616 616 2.67 1 5
C617 617 2.00 0 4
C618 618 1.00 0 2
C619 619 0.67 0 1
C620 620 1.33 0 2
C621 621 0.67 0 2
C622 622 1.00 0 2
C623 623 1.00 0 2
C624 624 1.00 1 1
C625 625 0.67 0 2
C626 626 1.67 0 3
C627 627 1.33 0 3
C628 628 2.00 1 3
C629 629 1.00 0 2
C630 630 0.67 0 2
C631 631 1.00 0 2
C632 632 0.33 0 1
C633 633 0.67 0 1
C634 634 0.67 0 2
C635 635 0.67 0 1
C636 636 1.33 0 3
C637 637 1.00 1 1
C638 638 1.00 0 3
C639 639 0.67 0 1
C640 640 0.33 0 1
C641 641 1.67 0 4
C642 642 0.00 0 0
C643 643 1.67 0 3
C644 644 2.00 0 5
C645 645 0.00 0 0
C646 646 0.67 0 1
C647 647 2.67 1 4
C648 648 1.00 0 2
C649 649 0.67 0 1
C650 650 1.00 1 1
C651 651 1.00 0 2
C652 652 1.00 1 1
C653 653 1.67 1 2
C654 654 1.33 1 2
C655 655 1.67 1 2
C656 656 1.00 1 1
C657 657 1.33 0 3
C658 658 0.33 0 1
C659 659 1.33 0 3
C660 660 1.00 0 2
C661 661 0.33 0 1
C662 662 0.67 0 1
C663 663 0.67 0 2
C664 664 0.67 0 1
C665 665 2.67 2 3
C666 666 1.00 0 2
C667 667 1.33 0 2
C668 668 1.33 0 3
C669 669 0.33 0 1
C670 670 0.67 0 1
C671 671 1.00 0 2
C672 672 1.00 1 1
C673 673 0.67 0 1
C674 674 1.00 0 2
C675 675 0.33 0 1
C676 676 1.33 0 3
C677 677 2.33 2 3
C678 678 0.00 0 0
C679 679 0.33 0 1
C680 680 0.67 0 1
C681 681 1.33 0 4
C682 682 1.00 0 2
C683 683 0.33 0 1
C684 684 0.33 0 1
C685 685 1.00 0 2
C686 686 1.00 0 3
